text;to;from;moment
je veux partir de Pinon pour Pont-de-claix (le );Pont-de-claix (le );Pinon;
Je souhaiterai avoir des informations sur le train Trith-saint-léger Saint-raphael;Saint-raphael;Trith-saint-léger;
J'aimerais me rendre sur Angoulins en partant de Puget-ville;Angoulins;Puget-ville;
Je prends le train Beziers Bellenaves;Bellenaves;Beziers;
trajet Miramas Manois;Manois;Miramas;
Je cherche le train le plus rapide pour faire Pineuilh Dreux;Dreux;Pineuilh;
Itinéraire Avenay-val-d'or Blaisy-bas;Blaisy-bas;Avenay-val-d'or;
Comment aller de Vauvert à Sauveterre-la-lémance;Sauveterre-la-lémance;Vauvert;
Je suis actuellement à Villiers-sur-loir et j’aimerais partir à Le molay-littry;Le molay-littry;Villiers-sur-loir;
je partirais de Gan pour aller à Beuvry;Beuvry;Gan;
Je partirais de Gueret pour aller à Lussac-les-châteaux;Lussac-les-châteaux;Gueret;
Je prends le train Bénestroff Azerailles;Azerailles;Bénestroff;
Depuis Chaux-des-crotenay à Sainte-marguerite-d'elle;Sainte-marguerite-d'elle;Chaux-des-crotenay;
Je cherche un train Vaas Joeuf dans une demi-heure;Joeuf;Vaas;dans une demi-heure
Je suis à Recquignies et je veux aller à Fondamente;Fondamente;Recquignies;
Je pars lundi soir de Orgerus pour aller à Montazels;Montazels;Orgerus;lundi soir
Je suis à Genech et je veux aller à Seurre;Seurre;Genech;
je viens de Tonneins et je veux aller à Formerie;Formerie;Tonneins;
Je cherche un trajet de Uzerche à Moyeuvre-grande;Moyeuvre-grande;Uzerche;
Igny Agen lundi matin;Agen;Igny;lundi matin
Je cherche le train le plus rapide pour faire Matzenheim Hettange-grande la semaine prochaine;Hettange-grande;Matzenheim;la semaine prochaine
Je cherche le train le plus rapide pour faire Loivre La suze-sur-sarthe;La suze-sur-sarthe;Loivre;
lundi après-midi, je vais à Cavignac depuis Tronsanges;Cavignac;Tronsanges;lundi après-midi
Itiniréraire jusqu'a Chaponost depuis Nantes;Chaponost;Nantes;
Depuis Bourgneuf-en-retz à Mureaux (les);Mureaux (les);Bourgneuf-en-retz;
Quel est l'itinéraire entre Saint-michel-sur-meurthe et Bayard-sur-marne;Bayard-sur-marne;Saint-michel-sur-meurthe;
Ma destination et ma provenance sont Ambès et Le pont-chrétien-chabenet;Ambès;Le pont-chrétien-chabenet;
Je prends le train Muhlbach-sur-bruche Tanus;Tanus;Muhlbach-sur-bruche;
itinéraire de voyage de Cluses vers Saint-cyr-sur-mer;Saint-cyr-sur-mer;Cluses;
Je suis actuellement à Saint-germain-sur-avre et j'aimerais partir à Amboise;Amboise;Saint-germain-sur-avre;
Je cherche le train le plus rapide pour faire Baudemont Évian-les-bains demain;Évian-les-bains;Baudemont;demain
Depuis Bouffemont à Vertaizon;Vertaizon;Bouffemont;
Donne moi l'itinéraire pour aller à Montigny-les-cormeilles en partant de Le houlme;Montigny-les-cormeilles;Le houlme;
Ma provenance et ma destination sont Colleville et Lussac-les-châteaux;Lussac-les-châteaux;Colleville;
J'aimerais me rendre sur Patay en partant de Chatellerault;Patay;Chatellerault;
La ligne Montdidier Nérondes;Nérondes;Montdidier;
Je souhaiterai avoir des informations sur le train Ludres Evreux;Evreux;Ludres;
Trouve le chemin pour Chatellerault depuis Avrigny.;Chatellerault;Avrigny;
Je cherche un trajet de Lecelles à Denain;Denain;Lecelles;
Le train Voreppe Aiguebelle;Aiguebelle;Voreppe;
Guide moi de Villers-saint-paul vers Ligugé;Ligugé;Villers-saint-paul;
Je suis à Clion et je souhaite me rendre à Bergues;Bergues;Clion;
train Lacapelle-viescamp Tréon;Tréon;Lacapelle-viescamp;
Je souhaiterai avoir des informations sur le train Sallaumines Varangéville;Varangéville;Sallaumines;
Indique moi le chemin pour Cintegabelle depuis Santes;Cintegabelle;Santes;
Je cherche un trajet de Villeherviers à Orleans mardi soir;Orleans;Villeherviers;mardi soir
Je veux trouver un trajet de Saint-agnan à Lempdes-sur-allagnon;Lempdes-sur-allagnon;Saint-agnan;
le départ et l'arrivée de mon voyage sont Massiac et Wasquehal;Wasquehal;Massiac;
Je me rends à Diarville en partant de La penne-sur-huveaune;Diarville;La penne-sur-huveaune;
Je souhaiterai avoir des informations sur le train Fleurance Le quesnoy qui part demain;Le quesnoy;Fleurance;demain
Je me rends à Ébersviller en partant de Sainte-christie;Ébersviller;Sainte-christie;
L'arrivée et le départ de mon voyage sont Pont-de-buis-lès-quimerch et Issoire;Pont-de-buis-lès-quimerch;Issoire;
arrivée Le perray-en-yvelines et départ Saint-jodard;Le perray-en-yvelines;Saint-jodard;
Quel trajet pour Trentels Porta;Porta;Trentels;
Quel est l'itinéraire entre Châtillon-sur-seine et Fains-la-folie;Fains-la-folie;Châtillon-sur-seine;
itinéraire jusqu'a Saint-remy-en-l'eau en partant de Revin;Saint-remy-en-l'eau;Revin;
Le train Rothau Grisolles;Grisolles;Rothau;
Je cherche un trajet de Audun-le-roman à Macau;Macau;Audun-le-roman;
J'irai bien à la gare de Comines depuis la gare de Manduel;Comines;Manduel;
je veux partir de Ligugé pour Gerzat;Gerzat;Ligugé;
Je veux aller de Virecourt à Gondrecourt-le-château vendredi matin;Gondrecourt-le-château;Virecourt;vendredi matin
Je suis à Nice et je veux aller à Bruges;Bruges;Nice;
Je souhaiterai avoir des informations sur le train Le cannet-des-maures La souterraine qui part mercredi;La souterraine;Le cannet-des-maures;mercredi
Je prends le train Montreuil-sous-pérouse Blaisy-bas;Blaisy-bas;Montreuil-sous-pérouse;
Je cherche le train le plus rapide pour faire Broons Hettange-grande;Hettange-grande;Broons;
Je souhaiterai avoir des informations sur le train Illiers-combray Glos-sur-risle;Glos-sur-risle;Illiers-combray;
Ma destination et ma provenance sont Bricy et Irigny;Bricy;Irigny;
ils veulent aller de Foëcy jusqu'à Gertwiller;Gertwiller;Foëcy;
Je cherche un train Castelsarrasin Grésy-sur-aix mardi matin;Grésy-sur-aix;Castelsarrasin;mardi matin
trajet Saint-chamond Étain;Étain;Saint-chamond;
Je veux aller de Saint-maur-des-fosses à Valenciennes dimanche après-midi;Valenciennes;Saint-maur-des-fosses;dimanche après-midi
Lons-le-saunier Clérac aujourd'hui;Clérac;Lons-le-saunier;aujourd'hui
Je souhaiterai avoir des informations sur le train Acheres Hayange;Hayange;Acheres;
je veux partir de Les salelles pour Chantilly;Chantilly;Les salelles;
Je partirais de Saint-amand-longpré pour aller à Viam;Viam;Saint-amand-longpré;
Ma destination et ma provenance sont Saujon et Rémelfing;Saujon;Rémelfing;
Ma provenance et ma destination sont Decize et Limoges;Limoges;Decize;
Je me rends à Givet en partant de Jarrie;Givet;Jarrie;
Trouve un train partant de Brunoy et allant à Chapelle-sur-erdre (la );Chapelle-sur-erdre (la );Brunoy;
Je veux aller à Libourne depuis Le thou;Libourne;Le thou;
train Colroy-la-roche Obermodern-zutzendorf;Obermodern-zutzendorf;Colroy-la-roche;
Je cherche le train le plus rapide pour faire Laguépie Wambrechies;Wambrechies;Laguépie;
L'arrivée et le départ de mon voyage sont Evreux et Lambersart;Evreux;Lambersart;
Je suis actuellement à Epiry et j’aimerais partir à Meyrargues jeudi matin;Meyrargues;Epiry;jeudi matin
itinéraire jusqu'a Brens en partant de Agen;Brens;Agen;
Indique moi le chemin pour La forest-landerneau depuis Espéraza;La forest-landerneau;Espéraza;
trajet Aumont-aubrac Saint-die;Saint-die;Aumont-aubrac;
Donne moi l'itinéraire pour aller à Saint-aubin en partant de Le puiset;Saint-aubin;Le puiset;
Je veux aller à Saint-pol-sur-ternoise depuis Saint-hilaire-de-riez;Saint-pol-sur-ternoise;Saint-hilaire-de-riez;
Je suis à Hatrize et je souhaite me rendre à Vonnas;Vonnas;Hatrize;
Ma provenance et ma destination sont Mennecy et Châteauneuf-sur-isère;Châteauneuf-sur-isère;Mennecy;
Comment me rendre à Fresnoy-le-grand depuis Cesson-sevigne;Fresnoy-le-grand;Cesson-sevigne;
Comment aller de Guillaucourt à Montigny-en-ostrevent;Montigny-en-ostrevent;Guillaucourt;
Martigues depuis Audruicq;Martigues;Audruicq;
Ma provenance et ma destination sont Le monastier-pin-moriès et Châteaubourg;Châteaubourg;Le monastier-pin-moriès;
J'irai bien à la gare de Bedous depuis la gare de Challans;Bedous;Challans;
Je veux aller à Étriché depuis Saint-cyr-sur-loire;Étriché;Saint-cyr-sur-loire;
Je prends le train Saint-cergues Val-des-marais vendredi après-midi;Val-des-marais;Saint-cergues;vendredi après-midi
Je suis actuellement à Vic-le-comte et j’aimerais partir à Bitche dans quatre heures;Bitche;Vic-le-comte;dans quatre heures
Je suis actuellement à Laroquebrou et j’aimerais partir à Koenigsmacker;Koenigsmacker;Laroquebrou;
trajet Loisy-sur-marne Patay;Patay;Loisy-sur-marne;
Prunay depuis Villeneuve-sur-allier;Prunay;Villeneuve-sur-allier;
Je cherche un train Sausheim La faloise;La faloise;Sausheim;
Je cherche un train Deuil-la-barre Luc-la-primaube;Luc-la-primaube;Deuil-la-barre;
Je suis à Chantonnay et je souhaite me rendre à Toul;Toul;Chantonnay;
Je veux me rendre à Feignies en partant de Honnechy;Feignies;Honnechy;
Je souhaiterai avoir des informations sur le train Saint-yorre La forest-landerneau qui part mardi matin;La forest-landerneau;Saint-yorre;mardi matin
Je souhaiterai avoir des informations sur le train Saint-pierre-en-faucigny Mézy-moulins;Mézy-moulins;Saint-pierre-en-faucigny;
Comment aller à Wacquemoulin depuis Rilly-la-montagne;Wacquemoulin;Rilly-la-montagne;
Lurbe-saint-christau Margut;Margut;Lurbe-saint-christau;
ils veulent aller de Saint-michel-de-maurienne jusqu'à La douze;La douze;Saint-michel-de-maurienne;
itinéraire jusqu'a Quesnoy-sur-deûle en partant de Layrac;Quesnoy-sur-deûle;Layrac;
Je pars de Provins pour aller à Saint-rémy-de-sillé lundi après-midi;Saint-rémy-de-sillé;Provins;lundi après-midi
Je pars de Bouchemaine pour aller à Lille;Lille;Bouchemaine;
je vais à Cestas depuis Saint-martin-d'oney;Cestas;Saint-martin-d'oney;
ils veulent aller de Denain jusqu'à Pontivy;Pontivy;Denain;
Quel trajet pour Saint-prest Pérenchies;Pérenchies;Saint-prest;
itinéraire jusqu'a Layrac en partant de Wambaix;Layrac;Wambaix;
itinéraire de voyage de Saint-fons vers Wissous;Wissous;Saint-fons;
Allons à Lisieux depuis Étais-la-sauvin;Lisieux;Étais-la-sauvin;
Guide moi de Berre-l'etang vers Sainte-christie;Sainte-christie;Berre-l'etang;
trajet Saint-avre Eaubonne;Eaubonne;Saint-avre;
j'aimerais me rendre à Parsac en quittant Chalette-sur-loing;Parsac;Chalette-sur-loing;
train Patay Compans;Compans;Patay;
Je pars de Pavillons-sous-bois (les) pour aller à Lamballe jeudi soir;Lamballe;Pavillons-sous-bois (les);jeudi soir
Je cherche un train Havre (le ) Ronchin samedi après-midi;Ronchin;Havre (le );samedi après-midi
je vais à Bourgneuf-en-retz depuis La réole;Bourgneuf-en-retz;La réole;
lundi soir je partirais de La houssaye-en-brie pour aller à Saint-cloud;Saint-cloud;La houssaye-en-brie;lundi soir
demain soir, je vais à Dunkerque depuis Saint-leu-la-foret;Dunkerque;Saint-leu-la-foret;demain soir
J'irai bien à la gare de Saint-médard-d'eyrans depuis la gare de Onville;Saint-médard-d'eyrans;Onville;
Donne moi l'itinéraire pour aller à Neuvy-sur-loire en partant de Wissous;Neuvy-sur-loire;Wissous;
Trouve un train partant de Capvern et allant à Pontgouin;Pontgouin;Capvern;
Ma provenance et ma destination sont Saint-ouen-l'aumone et Estrées-saint-denis;Estrées-saint-denis;Saint-ouen-l'aumone;
Trouve un train partant de Saint-rambert-en-bugey et allant à Wambaix;Wambaix;Saint-rambert-en-bugey;
Je prends le train Blonville-sur-mer Vittel;Vittel;Blonville-sur-mer;
Comment aller à Noyelles-sur-mer depuis Autet;Noyelles-sur-mer;Autet;
train Balsièges Luçon;Luçon;Balsièges;
Je cherche un train Caudiès-de-fenouillèdes Aiguillon;Aiguillon;Caudiès-de-fenouillèdes;
Ma destination et ma provenance sont Goncelin et Négrondes;Goncelin;Négrondes;
j'aimerais me rendre à Gorges en quittant Siorac-en-périgord;Gorges;Siorac-en-périgord;
je partirais de Eu pour aller à Sainte-colombe;Sainte-colombe;Eu;
Comment aller de Wizernes à Bois-le-roi;Bois-le-roi;Wizernes;
Je voudrais aller de Dorlisheim à Saint-paterne-racan;Saint-paterne-racan;Dorlisheim;
Je pars de Bischoffsheim pour aller à Oxelaëre;Oxelaëre;Bischoffsheim;
Je me rends à Bruyères-sur-oise en partant de Saint-pierre-les-elbeuf;Bruyères-sur-oise;Saint-pierre-les-elbeuf;
Allons à Vivy depuis Drefféac;Vivy;Drefféac;
Je veux aller de Baule à Tulle;Tulle;Baule;
Caurel Le péage-de-roussillon;Le péage-de-roussillon;Caurel;
Pithiviers depuis Prémery;Pithiviers;Prémery;
Je cherche un trajet de Avion à Marignane;Marignane;Avion;
bientôt Baudemont Vézelise;Vézelise;Baudemont;bientôt
Comment aller de Saint-julien-du-sault à Lescar;Lescar;Saint-julien-du-sault;
Je cherche un train Sarre-union Auvers-sur-oise;Auvers-sur-oise;Sarre-union;
ils veulent aller de Arles jusqu'à Aix-en-provence;Aix-en-provence;Arles;
itinéraire Toulouse Bords;Bords;Toulouse;
Je veux aller de Saint-ours à Landerneau;Landerneau;Saint-ours;
je veux partir de Croix pour Saint-thégonnec;Saint-thégonnec;Croix;
lundi, je voudrais aller de Ambronay à Villefranche-sur-saone;Villefranche-sur-saone;Ambronay;lundi
Itiniréraire jusqu'a Le boulou depuis Rombas;Le boulou;Rombas;
Allons à Gerzat depuis Foix;Gerzat;Foix;
Je prends le train Gemeaux Dourges dans quatre heures;Dourges;Gemeaux;dans quatre heures
Je cherche un trajet de Houilles à Baccarat dans six heures;Baccarat;Houilles;dans six heures
L'arrivée et le départ de mon voyage sont Prémery et Blangy-sur-ternoise;Prémery;Blangy-sur-ternoise;
Saint-paul-de-varax depuis Raedersheim;Saint-paul-de-varax;Raedersheim;
Je cherche un trajet de Amilly à Murat mardi après-midi;Murat;Amilly;mardi après-midi
Je cherche un train Pérenchies Laroquebrou;Laroquebrou;Pérenchies;
je partirais de Roscoff pour aller à Planès;Planès;Roscoff;
Quel trajet pour Sept-saulx Malesherbes;Malesherbes;Sept-saulx;
Depuis Lamothe-montravel à Montbazon;Montbazon;Lamothe-montravel;
Comment me rendre à Villeperdue depuis Montbizot;Villeperdue;Montbizot;
Je prends le train La ferté-imbault Saint-martin-le-beau;Saint-martin-le-beau;La ferté-imbault;
La forest-landerneau Le theil-de-bretagne;Le theil-de-bretagne;La forest-landerneau;
Indique moi le chemin pour Sommesous depuis Landry;Sommesous;Landry;
dans trois heures, je vais à Ingwiller depuis Dettwiller;Ingwiller;Dettwiller;dans trois heures
La ligne Tonnerre Givors;Givors;Tonnerre;
Depuis Saint-gratien à Saint-fargeau-ponthierry;Saint-fargeau-ponthierry;Saint-gratien;
Quel est l'itinéraire entre Butry-sur-oise et Compiegne;Compiegne;Butry-sur-oise;
Donne moi l'itinéraire pour aller à Givors en partant de Montescourt-lizerolles;Givors;Montescourt-lizerolles;
Ma destination et ma provenance sont Andelot-en-montagne et Puget-ville;Andelot-en-montagne;Puget-ville;
Je souhaiterai avoir des informations sur le train Melun Gertwiller qui part aujourd'hui;Gertwiller;Melun;aujourd'hui
Indique moi le chemin pour Villard-bonnot depuis Louvres;Villard-bonnot;Louvres;
Allons à Fleurville depuis Saint-marcellin;Fleurville;Saint-marcellin;
Hayange depuis Plancoët;Hayange;Plancoët;
Trouve un train partant de Trie-château et allant à Ligny-en-barrois;Ligny-en-barrois;Trie-château;
j'aimerais me rendre à Courlandon en quittant Poliénas;Courlandon;Poliénas;
de Saint-julien-mont-denis à Bornel;Bornel;Saint-julien-mont-denis;
Je suis actuellement à Nexon et j'aimerais partir à Amilly;Amilly;Nexon;
trajet Avrechy Vayrac;Vayrac;Avrechy;
Allons à Marnes-la-coquette depuis Gannes;Marnes-la-coquette;Gannes;
le départ et l'arrivée de mon voyage sont Val-de-reuil et Labège;Labège;Val-de-reuil;
train Lentilly Mommenheim;Mommenheim;Lentilly;
Comment aller de Saint-louis à Gudmont-villiers;Gudmont-villiers;Saint-louis;
je vais à Alland'huy-et-sausseuil depuis Vernon;Alland'huy-et-sausseuil;Vernon;
Quel trajet pour Arcachon Nevers;Nevers;Arcachon;
Quesnoy-le-montant Armentieres;Armentieres;Quesnoy-le-montant;
Quel est l'itinéraire entre Eymoutiers et Saint-péray;Saint-péray;Eymoutiers;
Je pars de Malause pour aller à Vernaison jeudi après-midi;Vernaison;Malause;jeudi après-midi
Quel trajet pour Biarritz Roanne;Roanne;Biarritz;
Bertrichamps Artonges;Artonges;Bertrichamps;
Je veux trouver un trajet de Mézin à Saint-saviol;Saint-saviol;Mézin;
dans un moment, je voudrais aller de Longueil-annel à Montierchaume;Montierchaume;Longueil-annel;dans un moment
j'aimerais partir de Reignier pour me rendre à Digoin;Digoin;Reignier;
je veux partir de Pavillons-sous-bois (les) pour Saint-etienne-du-rouvray;Saint-etienne-du-rouvray;Pavillons-sous-bois (les);
Trouve un train partant de La marche et allant à Saint-aubin;Saint-aubin;La marche;
Le train Bruyères Saillat-sur-vienne;Saillat-sur-vienne;Bruyères;
Je pars de Plénée-jugon pour aller à Fontpédrouse;Fontpédrouse;Plénée-jugon;
Vernet dans cinq heures depuis Saint-pierre-sur-dives;Vernet;Saint-pierre-sur-dives;dans cinq heures
Trouve un train partant de Colombiers et allant à Le pont-de-beauvoisin;Le pont-de-beauvoisin;Colombiers;
dans quatre heures je partirais de Pont-remy pour aller à Neuville-sur-sarthe;Neuville-sur-sarthe;Pont-remy;dans quatre heures
Comment aller à Appilly depuis Lorient;Appilly;Lorient;
Je pars de Guichen pour aller à Saint-romain-le-puy;Saint-romain-le-puy;Guichen;
Je suis à Chivres-en-laonnois et je veux aller à Lavaur;Lavaur;Chivres-en-laonnois;
Trouve un train partant de Aurillac et allant à Pignans;Pignans;Aurillac;
Je pars le mois prochain de Golfech pour aller à Saône;Saône;Golfech;le mois prochain
demain après-midi je partirais de Strasbourg pour aller à Massiac;Massiac;Strasbourg;demain après-midi
Le train Frouard Celle-saint-cloud (la );Celle-saint-cloud (la );Frouard;
de Boutigny-sur-essonne à Lure;Lure;Boutigny-sur-essonne;
L'arrivée et le départ de mon voyage sont Saint-gaudens et Liancourt-saint-pierre;Saint-gaudens;Liancourt-saint-pierre;
je viens de Dommartin et je veux aller à Frévin-capelle;Frévin-capelle;Dommartin;
Le train Méré Saint-pierre-le-viger;Saint-pierre-le-viger;Méré;
J'irai bien à la gare de Saint-andré-le-gaz depuis la gare de Les eyzies-de-tayac-sireuil;Saint-andré-le-gaz;Les eyzies-de-tayac-sireuil;
Je prends le train Notre-dame-de-gravenchon Bannalec;Bannalec;Notre-dame-de-gravenchon;
Je cherche un trajet de Bassens à Langeac mercredi après-midi;Langeac;Bassens;mercredi après-midi
Reichshoffen depuis Le teil;Reichshoffen;Le teil;
La ligne Origny-en-thiérache Le meux;Le meux;Origny-en-thiérache;
Je cherche le train le plus rapide pour faire Neuves-maisons Messac demain matin;Messac;Neuves-maisons;demain matin
Je cherche le train le plus rapide pour faire Castillon-la-bataille Gujan-mestras;Gujan-mestras;Castillon-la-bataille;
Trelaze depuis Biffontaine;Trelaze;Biffontaine;
Je veux aller de Longpré-les-corps-saints à Chirac dans une demi-heure;Chirac;Longpré-les-corps-saints;dans une demi-heure
Je suis actuellement à Donzère et j’aimerais partir à La roche-rigault;La roche-rigault;Donzère;
je partirais de Blonville-sur-mer pour aller à Huriel;Huriel;Blonville-sur-mer;
Je cherche un train Magalas Rouen;Rouen;Magalas;
Je suis à Vaucresson et je souhaite me rendre à Bouaye;Bouaye;Vaucresson;
Ma provenance et ma destination sont Ailly-sur-somme et Cugand;Cugand;Ailly-sur-somme;
Je veux aller à Lunel depuis Saint-macaire;Lunel;Saint-macaire;
itinéraire Schiltigheim Teillé;Teillé;Schiltigheim;
Quel est l'itinéraire entre Montcornet et Capdenac-gare;Capdenac-gare;Montcornet;
Le train Sainte-colombe-sur-seine Longueville;Longueville;Sainte-colombe-sur-seine;
Je pars de Saint-jean-pied-de-port pour aller à Aubagne;Aubagne;Saint-jean-pied-de-port;
Indique moi le chemin pour Lingolsheim depuis Nyer;Lingolsheim;Nyer;
samedi après-midi Saint-cyr-l'ecole Poigny;Poigny;Saint-cyr-l'ecole;samedi après-midi
itinéraire Poussay Trentels;Trentels;Poussay;
Indique moi le chemin pour Molsheim depuis Nomexy;Molsheim;Nomexy;
Je cherche un trajet de Mareil-sur-mauldre à Saint-saturnin-lès-avignon;Saint-saturnin-lès-avignon;Mareil-sur-mauldre;
Je me rends à Marlieux en partant de Huningue;Marlieux;Huningue;
Sains-du-nord Villefranche-sur-cher samedi après-midi;Villefranche-sur-cher;Sains-du-nord;samedi après-midi
de Villeneuve-le-roi à Hoffen;Hoffen;Villeneuve-le-roi;
j'aimerais me rendre à Estissac en quittant Civry;Estissac;Civry;
Comment aller à Mureaux (les) depuis Lestrem;Mureaux (les);Lestrem;
Trouve le chemin pour Yffiniac depuis Aiguillon.;Yffiniac;Aiguillon;
La ligne Laignes Chapelle-sur-erdre (la );Chapelle-sur-erdre (la );Laignes;
Ma provenance et ma destination sont Haut-mauco et Migny;Migny;Haut-mauco;
Depuis Marolles à Poix-de-picardie;Poix-de-picardie;Marolles;
arrivée Benfeld et départ Pommevic;Benfeld;Pommevic;
Je pars lundi de Plouagat pour aller à Chasseneuil-sur-bonnieure;Chasseneuil-sur-bonnieure;Plouagat;lundi
train Roquebrune-cap-martin Macon samedi après-midi;Macon;Roquebrune-cap-martin;samedi après-midi
Je veux le trajet de Sarralbe à Saint-ouen-l'aumone;Saint-ouen-l'aumone;Sarralbe;
Allons à Castelnau-d'estrétefonds depuis Schweighouse-sur-moder;Castelnau-d'estrétefonds;Schweighouse-sur-moder;
Je veux aller de Saint-martory à Longueville-sur-scie jeudi après-midi;Longueville-sur-scie;Saint-martory;jeudi après-midi
Comment aller de Cesson-sevigne à Port-de-bouc;Port-de-bouc;Cesson-sevigne;
Vigeois Ars-sur-moselle lundi après-midi;Ars-sur-moselle;Vigeois;lundi après-midi
Je veux aller de Poix-de-picardie à Étigny;Étigny;Poix-de-picardie;
Je prends le train Cheniménil Fontenay-le-fleury;Fontenay-le-fleury;Cheniménil;
Quel est l'itinéraire entre Labergement-sainte-marie et Bueil;Bueil;Labergement-sainte-marie;
j'aimerais partir de Chauny pour me rendre à Saint-hilaire-les-places;Saint-hilaire-les-places;Chauny;
Je souhaiterai avoir des informations sur le train Bournezeau Parsac qui part dimanche matin;Parsac;Bournezeau;dimanche matin
Je cherche le train le plus rapide pour faire Arnac-pompadour Longuefuye demain matin;Longuefuye;Arnac-pompadour;demain matin
Depuis Colombes à Brioude;Brioude;Colombes;
J'irai bien à la gare de Légny depuis la gare de Revel;Légny;Revel;
itinéraire de voyage de Cellule vers Layrac;Layrac;Cellule;
Je cherche un trajet de Longueil-annel à Vierzy;Vierzy;Longueil-annel;
Trouve un train partant de Frouard et allant à La bassée;La bassée;Frouard;
samedi après-midi, je voudrais aller de Nomain à Écommoy;Écommoy;Nomain;samedi après-midi
Je pars de Chagny pour aller à Sainte-christie;Sainte-christie;Chagny;
Comment me rendre à Saint-vit depuis Saint-flour;Saint-vit;Saint-flour;
maintenant, je voudrais aller de Réding à Pré-en-pail;Pré-en-pail;Réding;maintenant
Je suis actuellement à Aigle (l') et j’aimerais partir à Molsheim;Molsheim;Aigle (l');
le départ et l'arrivée de mon voyage sont Bouchain et Jurancon;Jurancon;Bouchain;
Je veux aller à Le pont-de-beauvoisin depuis Luçay-le-mâle;Le pont-de-beauvoisin;Luçay-le-mâle;
Je souhaiterai avoir des informations sur le train Distroff Fumay;Fumay;Distroff;
Je pars vendredi après-midi de Assat pour aller à Lutzelbourg;Lutzelbourg;Assat;vendredi après-midi
Je me rends à Taverny en partant de Lambersart;Taverny;Lambersart;
Je prends le train Conflans-sainte-honorine Luçon dans une heure;Luçon;Conflans-sainte-honorine;dans une heure
Je me rends à Portets en partant de Saint-sébastien;Portets;Saint-sébastien;
Je cherche le train le plus rapide pour faire Aumont-aubrac Pomas dimanche;Pomas;Aumont-aubrac;dimanche
Je suis actuellement à Laval-de-cère et j’aimerais partir à Chaingy;Chaingy;Laval-de-cère;
Je pars de Pertuis pour aller à Chouzy-sur-cisse;Chouzy-sur-cisse;Pertuis;
Trouve un train partant de Thiaville-sur-meurthe et allant à Saint-romain-en-gal;Saint-romain-en-gal;Thiaville-sur-meurthe;
Serquigny depuis Polisot;Serquigny;Polisot;
Comment aller de Guémené-penfao à Rochy-condé maintenant;Rochy-condé;Guémené-penfao;maintenant
Je veux me rendre à Rothau en partant de Halsou;Rothau;Halsou;
Je cherche le train le plus rapide pour faire Verneuil-sur-avre Ceintrey;Ceintrey;Verneuil-sur-avre;
Ma destination et ma provenance sont Sauveterre-la-lémance et Montreuil-bellay;Sauveterre-la-lémance;Montreuil-bellay;
itinéraire jusqu'a Tillenay en partant de Dourges;Tillenay;Dourges;
mardi matin, je voudrais aller de Verneuil-sur-vienne à Prémery;Prémery;Verneuil-sur-vienne;mardi matin
Je suis à Marcheprime et je souhaite me rendre à Grisolles;Grisolles;Marcheprime;
train Saint-jacques-de-la-lande Noizay;Noizay;Saint-jacques-de-la-lande;
Guide moi de Campagne-sur-aude vers Poitiers;Poitiers;Campagne-sur-aude;
Quel trajet pour Roubaix Montrichard;Montrichard;Roubaix;
Je suis à Clamecy et je souhaite me rendre à Saint-claude;Saint-claude;Clamecy;
Je cherche un train Avoudrey Gondrecourt-le-château;Gondrecourt-le-château;Avoudrey;
Je pars de Pont-remy pour aller à Montbré;Montbré;Pont-remy;
Bouaye depuis La réole;Bouaye;La réole;
Je suis actuellement à Rives et j’aimerais partir à Monestier-de-clermont;Monestier-de-clermont;Rives;
Je voudrais aller de Joncherey à Arras;Arras;Joncherey;
Donne moi l'itinéraire pour aller à Saint-louis en partant de Rai;Saint-louis;Rai;
Allons à Praye depuis Us;Praye;Us;
Orange Clisson;Clisson;Orange;
Trouve un train partant de Mussidan et allant à Pierre-benite;Pierre-benite;Mussidan;
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Lens et gare de Saint-raphael;Saint-raphael;Lens;
Trentels lundi depuis Évian-les-bains;Trentels;Évian-les-bains;lundi
Je cherche un trajet de Étampes-sur-marne à Steenbecque;Steenbecque;Étampes-sur-marne;
Je cherche un trajet de Tournon-saint-martin à Ormoy-villers;Ormoy-villers;Tournon-saint-martin;
itinéraire de voyage de Montceau-les-mines vers Roquefort;Roquefort;Montceau-les-mines;
itinéraire de voyage de Peyrehorade vers La chaumusse;La chaumusse;Peyrehorade;
Trouve un train partant de Melesse et allant à Rochelle (la );Rochelle (la );Melesse;
itinéraire Châteauneuf-de-gadagne Baule-escoublac (la );Baule-escoublac (la );Châteauneuf-de-gadagne;
Je me rends à Étigny en partant de Savennières;Étigny;Savennières;
itinéraire jusqu'a Précy-sur-oise en partant de Mauzac-et-grand-castang;Précy-sur-oise;Mauzac-et-grand-castang;
Quel trajet pour Grande-synthe Saint-laurent-de-brèvedent;Saint-laurent-de-brèvedent;Grande-synthe;
J'aimerais me rendre sur Bernay en partant de Bosmie-l'aiguille;Bernay;Bosmie-l'aiguille;
Je cherche le train le plus rapide pour faire Arras Montmélian;Montmélian;Arras;
train Givors La haie-fouassière;La haie-fouassière;Givors;
Le train Dompierre-sur-besbre Saint-cyr-en-val;Saint-cyr-en-val;Dompierre-sur-besbre;
je viens de Saint-germain-sur-meuse et je veux aller à Ruffec;Ruffec;Saint-germain-sur-meuse;
